  Depth   SampleID      Ti        Ta        P1       P1sigma      P2       P2sigma      DA       DAsigma  
    3.655     7       -16.2     -15.6       1.7431     0.0010     1.6982     0.0017    0.03615    0.00078 
    3.660     7       -16.0     -15.3       1.7685     0.0007     1.7166     0.0010    0.04490    0.00106 
    3.665     7       -16.1     -16.1       1.7888     0.0010     1.7351     0.0003    0.05193    0.00155 
    3.670     7       -16.1     -16.4       1.7972     0.0009     1.7448     0.0003    0.05377    0.00126 
    3.675     7       -16.1     -16.7       1.7918     0.0009     1.7417     0.0000    0.05243    0.00084 
    3.680     7       -16.2     -16.9       1.7740     0.0007     1.7260     0.0006    0.05010    0.00090 
    3.685     7       -16.2     -16.8       1.7468     0.0004     1.7018     0.0011    0.04797    0.00105 
    3.690     7       -16.0     -16.8       1.6930     0.0041     1.6502     0.0011    0.04503    0.00145 
    3.740     8       -16.4     -16.8       1.6967     0.0059     1.6602     0.0053    0.03653    0.00075 
    3.745     8       -16.4     -16.8       1.7036     0.0033     1.6712     0.0045    0.03233    0.00218 
    3.750     8       -16.4     -16.6       1.7074     0.0015     1.6757     0.0014    0.03170    0.00087 
    3.755     8       -16.4     -16.5       1.7174     0.0007     1.6808     0.0073    0.03657    0.00665 
    3.760     8       -16.3     -16.3       1.7499     0.0008     1.7077     0.0010    0.04220    0.00167 
    3.765     8       -16.3     -16.2       1.7818     0.0009     1.7292     0.0005    0.05257    0.00064 
    3.770     8       -16.3     -16.1       1.8024     0.0012     1.7414     0.0005    0.06100    0.00066 
    3.775     8       -16.2     -15.9       1.8088     0.0008     1.7427     0.0004    0.06617    0.00045 
    3.780     8       -16.4     -16.0       1.8069     0.0014     1.7382     0.0008    0.06863    0.00065 
    3.785     8       -16.4     -15.9       1.8012     0.0013     1.7321     0.0009    0.06907    0.00042 
    3.790     8       -16.2     -15.7       1.7955     0.0020     1.7270     0.0012    0.06843    0.00085 
    3.795     8       -16.3     -15.8       1.7895     0.0025     1.7216     0.0014    0.06783    0.00115 
    3.800     8       -16.2     -15.6       1.7830     0.0027     1.7157     0.0013    0.06730    0.00145 
    3.805     8       -16.2     -15.6       1.7770     0.0023     1.7113     0.0009    0.06567    0.00142 
    3.810     8       -16.2     -15.6       1.7653     0.0010     1.7034     0.0002    0.06197    0.00096 
    3.815     8       -16.2     -15.5       1.7482     0.0003     1.6912     0.0004    0.05693    0.00067 
    3.820     8       -16.2     -15.5       1.7269     0.0005     1.6748     0.0003    0.05210    0.00066 
    3.825     8       -16.2     -15.5       1.6917     0.0010     1.6447     0.0012    0.04703    0.00192 
    3.830     8       -16.1     -15.5       1.6495     0.0012     1.6045     0.0077    0.04085    0.00502 
    3.900     8       -16.4     -16.4       1.6974     0.0029     1.6748     0.0174    0.03390    0.00170 
    3.905     8       -16.2     -16.1       1.7177     0.0014     1.6799     0.0019    0.03783    0.00049 
    3.910     8       -16.4     -16.2       1.7292     0.0023     1.6899     0.0029    0.03923    0.00064 
    3.915     8       -16.4     -16.1       1.7512     0.0022     1.7110     0.0022    0.04013    0.00021 
    3.920     8       -16.3     -15.9       1.7777     0.0018     1.7339     0.0016    0.04383    0.00023 
    3.925     8       -16.4     -16.0       1.8009     0.0016     1.7508     0.0012    0.05013    0.00042 
    3.930     8       -16.2     -15.7       1.8155     0.0020     1.7590     0.0015    0.05650    0.00046 
    3.935     8       -16.3     -15.7       1.8200     0.0025     1.7603     0.0017    0.05967    0.00080 
    3.940     8       -16.5     -15.9       1.8073     0.0025     1.7516     0.0005    0.05570    0.00295 
    3.990     9       -16.6     -16.3       1.7524     0.0023     1.7121     0.0020    0.03940 
    3.995     9       -16.5     -16.2       1.7546     0.0000     1.7145     0.0027    0.04130 
    4.000     9       -16.8     -16.4       1.7507     0.0013     1.7108     0.0025    0.03915    0.00106 
    4.005     9       -16.5     -16.0       1.7507     0.0012     1.7110     0.0036    0.03710    0.00042 
    4.010     9       -16.4     -15.8       1.7558     0.0014     1.7174     0.0004    0.03840    0.00165 
    4.015     9       -16.5     -15.9       1.7582     0.0017     1.7181     0.0001    0.04013    0.00165 
    4.020     9       -16.4     -15.7       1.7559     0.0005     1.7139     0.0008    0.04200    0.00095 
    4.025     9       -16.2     -15.6       1.7537     0.0004     1.7098     0.0003    0.04397    0.00059 
    4.030     9       -16.4     -15.7       1.7512     0.0003     1.7074     0.0010    0.04383    0.00123 
    4.035     9       -16.3     -15.6       1.7531     0.0003     1.7097     0.0005    0.04347    0.00025 
    4.040     9       -16.4     -15.6       1.7602     0.0001     1.7172     0.0006    0.04303    0.00047 
    4.045     9       -16.4     -15.6       1.7623     0.0008     1.7206     0.0010    0.04167    0.00025 
    4.050     9       -16.4     -15.6       1.7566     0.0018     1.7170     0.0019    0.03963    0.00055 
    4.055     9       -16.2     -16.1       1.7469     0.0027     1.7069     0.0019    0.04003    0.00090 
    4.060     9       -16.3     -16.7       1.7450     0.0026     1.7048     0.0020    0.04023    0.00064 
    4.065     9       -16.5     -17.0       1.7474     0.0023     1.7080     0.0023    0.03943    0.00031 
    4.070     9       -16.4     -16.9       1.7569     0.0004     1.7170     0.0009    0.03990    0.00053 
    4.075     9       -16.3     -17.0       1.7643     0.0006     1.7232     0.0004    0.04103    0.00071 
    4.080     9       -16.4     -17.2       1.7678     0.0008     1.7242     0.0007    0.04353    0.00012 
    4.085     9       -16.4     -17.2       1.7670     0.0015     1.6986     0.0429    0.04450    0.00014 
    4.090     9       -16.4     -17.2       1.7686     0.0021     1.7243     0.0025    0.04423    0.00040 
    4.095     9       -16.4     -17.0       1.7708     0.0023     1.7284     0.0021    0.04233    0.00040 
    4.100     9       -16.4     -16.8       1.7715     0.0026     1.7315     0.0024    0.04000    0.00030 
    4.105     9       -16.4     -16.6       1.7759     0.0008     1.7365     0.0012    0.03937    0.00042 
    4.110     9       -16.4     -16.6       1.7789     0.0004     1.7415     0.0009    0.03747    0.00057 
    4.115     9       -16.4     -16.4       1.7755     0.0001     1.7399     0.0006    0.03563    0.00049 
    4.120     9       -16.5     -16.5       1.7649     0.0002     1.7314     0.0007    0.03357    0.00055 
    4.125     9       -16.4     -16.2       1.7531     0.0017     1.7205     0.0020    0.03257    0.00038 
